"year","variable","ensemble","model","experiment","value"
1918,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.933355242013931
1919,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904659728209178
1920,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904972950617472
1921,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.227389653523763
1922,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.29846602678299
1923,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.937112549940745
1924,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.878100156784058
1925,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.79003927608331
1926,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.06310242414474
1927,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.861102163791656
1928,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.334722797075907
1929,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.335666954517365
1930,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.79322941104571
1931,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.882680495580037
1932,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.430414547522863
1933,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.714425265789032
1934,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.03466735283534
1935,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.21398041645686
1936,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.761843303839366
1937,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.977594090004762
1938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.939072370529175
1939,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.768559734026591
1940,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.30284188191096
1941,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.3838950296243
1942,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.07116754353046
1943,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.835906326770782
1944,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10225987434387
1945,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.766337633132935
1946,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.00311855475108
1947,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.895232160886129
1948,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.821792503197988
1949,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.12027378877004
1950,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.567320624987284
1951,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.601144472757975
1952,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.838930487632751
1953,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.955091993014018
1954,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.6128901441892
1955,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.703080614407857
1956,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.54086331526438
1957,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.35222040613492
1958,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.801287611325582
1959,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.723905682563782
1960,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.875876059134801
1961,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.906159579753876
1962,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.947060247262319
1963,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.95916822552681
1964,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.201949417591095
1965,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.937176545461019
1966,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.29430001974106
1967,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.35723149776459
1968,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.02054913838704
1969,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.32976184040308
1970,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.91689521074295
1971,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.2468322912852
1972,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.23485115170479
1973,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.21213448047638
1974,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.08117328087489
1975,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.482442498207092
1976,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.850109179814657
1977,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.06207280357679
1978,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.11066404233376
1979,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.26458748181661
1980,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.39557001988093
1981,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.09389344851176
1982,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.0740307668844859
1983,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.084320326646169
1984,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.49376353621483
1985,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.66523345311483
1986,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.53587985038757
1987,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.52348925669988
1988,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.87072140475114
1989,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84948364893595
1990,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.38788110017776
1991,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.0959872274349133
1992,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.562431732813517
1993,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.70759782195091
1994,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.01689798633258
1995,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.95506775379181
1996,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.90536667903264
1997,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.969185034434
1998,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84057140350342
1999,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.34017964204152
2000,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.3893204331398
2001,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.68972394863764
2002,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.15071903665861
2003,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.0120459596316
2004,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84950192769368
2005,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.49929515769084
2006,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.9374615252018
2007,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.71523169676463
2008,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.74435593684514
2009,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.71285092830658
2010,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.03681862850984
2011,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.68215850989024
2012,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.65266524751981
1861,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.38735125462214
1862,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.521615594625473
1863,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.08056610822678
1864,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.88914428154627
1865,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.5576070745786
1866,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.927248438199361
1867,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.299735149058203
1868,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.62457577387492
1869,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.05722268422445
1870,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.614934980869293
1871,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.40290296077728
1872,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.44930267333984
1873,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.859971423943838
1874,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.13817362984021
1875,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.00553152710199
1876,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.761999517679214
1877,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.24429986874262
1878,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.11860430240631
1879,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.00611472129822
1880,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.54238098363082
1881,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.67433168490728
1882,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.85956980784734
1883,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.271959414084752
1884,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",-2.88776348034541
1885,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.719866812229156
1886,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.24919956922531
1887,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.62388855218887
1888,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.778738180796305
1889,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.825437645117442
1890,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.61867814262708
1891,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.962027341127396
1892,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.50392285982768
1893,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.12538142005603
1894,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.45398928721746
1895,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.3617239544789
1896,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.54637558261553
1897,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.02228577931722
1898,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.68346985181173
1899,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.5723289794599
1900,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.21800521016121
1901,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.07479389508565
1902,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.32628288865089
1903,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.120091003676256
1904,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.47086477279663
1905,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.07283701499303
1906,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.63657983144124
1907,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.91868937015533
1908,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.14629836877187
1909,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.07703892389933
1910,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.16691398620605
1911,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.49883394440015
1912,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.701237152020136
1913,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.02662217617035
1914,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.6044667561849
1915,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.24334702889125
1916,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.63810767730077
1917,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.34190609057744
1918,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.13323098421097
1919,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.08498495817184
1920,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.74443832039833
1921,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.47071832418442
1922,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.03087098896503
1923,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.18304735422134
1924,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.46218747893969
1925,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.36265238126119
1926,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.20278056462606
1927,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.24739083647728
1928,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.69761961698532
1929,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.2443859577179
1930,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.71239074071248
1931,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.45025283098221
1932,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.32644972205162
1933,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.25449752807617
1934,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.10872181256612
1935,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.61132518450419
1936,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.23908106486003
1937,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.739985744158427
1938,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.12439805269241
1939,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.40539283553759
1940,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.36303839087486
1941,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.13758677244186
1942,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.18319765726725
1943,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.56210625171661
1944,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.71891550223033
1945,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.93660332262516
1946,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.61536018053691
1947,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.39303250114123
1948,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.19872735937436
1949,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.86877205471198
1950,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.32848940292994
1951,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.887773056825
1952,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.73699977000554
1953,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.99444047609965
1954,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.64552003145218
1955,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.09528678655624
1956,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.984454055627187
1957,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.07870763540268
1958,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.69616569081942
1959,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.87412193417549
1960,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.04315481334925
1961,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.22749736905098
1962,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.70938245455424
1963,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.602931002775828
1964,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.000471383333206177
1965,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.859162549177806
1966,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.04919091860453
1967,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.57982850074768
1968,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.87051818768183
1969,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.64909589290619
1970,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.12697352965673
1971,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.46920841435591
1972,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.77516978979111
1973,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.57315411170324
1974,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.79683002829552
1975,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.08248007297516
1976,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.55158692598343
1977,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.35659801959991
1978,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.10126147667567
1979,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.04659503698349
1980,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.32505569855372
1981,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.35094354550044
1982,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.33517000079155
1983,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.955814798672994
1984,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.89358309904734
1985,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.76537146170934
1986,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.446109354496
1987,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.48443510135015
1988,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.44828560948372
1989,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.92677672704061
1990,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.69809548060099
1991,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",0.0712715983390808
1992,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",-1.23969147602717
1993,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.44803909460704
1994,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.88454009095828
1995,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.09824701150258
1996,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.69519523779551
1997,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.62940831979116
1998,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.01471734046936
1999,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.79797188440959
2000,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.71674006183942
2001,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.04444008072217
2002,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.01791489124298
2003,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",2.73146068056424
2004,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",3.32725717624029
2005,"heatflux","r1i1p1","GFDL-ESM2G","esmHistorical",1.56832524140676
1850,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.89266226689021
1851,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.26556670665741
1852,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.70001991589864
1853,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.77488045891126
1854,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.87512637178103
1855,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.07081280152003
1856,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",0.558185080687205
1857,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.09967986742655
1858,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",0.730679631233215
1859,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.93694918354352
1860,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.92662128806114
1861,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.21346376339595
1862,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.21918350458145
1863,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.64158397912979
1864,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.51379324992498
1865,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.86305997769038
1866,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.12933097283045
1867,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.0391731162866
1868,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.46638649702072
1869,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.04808146754901
1870,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.97272266944249
1871,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.19172556698322
1872,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.26682360967
1873,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.81519775589307
1874,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.95877485473951
1875,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.17063794036706
1876,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.1365233361721
1877,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",2.52873505155245
1878,"heatflux","r1i1p1","MIROC-ESM","esmHistorical",1.67474210262299
